变量名,数据类型,连接名,PLC地址,读写属性,断电保持,注释,画面编号
U1_CMD_Start,Bool,PLC_01,V0.0,RW,是,启动实验(从S0进入S1),3
U1_CMD_Pause,Bool,PLC_01,V0.1,RW,是,暂停实验(预留),3
U1_CMD_Stop,Bool,PLC_01,V0.2,RW,是,停止实验(进入S7),3
U1_CMD_AckAlarm,Bool,PLC_01,V0.3,RW,是,报警确认,5
U1_CMD_Mute,Bool,PLC_01,V0.4,RW,是,消音命令,5
U1_CMD_ForceTankA_Empty,Bool,PLC_01,V0.5,RW,是,强制上缸状态=空,3
U1_CMD_ForceTankA_Full,Bool,PLC_01,V0.6,RW,是,强制上缸状态=满,3
U1_CMD_SafetyRelayAck,Bool,PLC_01,V0.7,RW,是,继电器故障HMI确认,5
U1_STA_StartAck,Bool,PLC_01,V1.0,R,是,启动命令已接收,1
U1_STA_PauseAck,Bool,PLC_01,V1.1,R,是,暂停命令已接收,3
U1_STA_StopAck,Bool,PLC_01,V1.2,R,是,停止命令已接收,3
U1_STA_AlarmAckDone,Bool,PLC_01,V1.3,R,是,报警确认已执行,5
U1_STA_MuteDone,Bool,PLC_01,V1.4,R,是,消音已执行,5
U1_STA_ForceDone,Bool,PLC_01,V1.5,R,是,状态强制已执行,3
U1_STA_TankA_State,Bool,PLC_01,V1.6,R,是,"上缸状态(0=空,1=满)",1
U1_STA_TankB_State,Bool,PLC_01,V1.7,R,是,"下缸状态(0=空,1=满)",1
U1_VW2_StateMachine,Int,PLC_01,VW2,R,是,"状态机当前状态(0~8,99)",1
U1_VW4_PumpStatus,Int,PLC_01,VW4,R,否,注射泵状态码,2
U1_VW6_AlarmCode,Int,PLC_01,VW6,R,是,当前最高优先级报警码,5
U1_VW8_RoundCount,Int,PLC_01,VW8,R,是,实验轮次计数,1
U1_VD_C_Set,Float,PLC_01,VD10,RW,是,目标浓度设定值(%),4
U1_VD_C_Stock,Float,PLC_01,VD14,RW,是,母液浓度(%),4
U1_VD_StepResolution,Float,PLC_01,VD350,RW,是,注射泵单步分辨率(µL/步),4
U1_VD_CycleSetpoint,Float,PLC_01,VD354,RW,是,换水周期设定值(min),4
U1_VD_ExperimentTarget,Float,PLC_01,VD24,RW,是,实验时长目标(min),4
U1_VD_PreMixTime,Float,PLC_01,VD28,RW,是,S2预循环标称时长(s),4
U1_VD_PreMixTime_MinSafe,Float,PLC_01,VD32,RW,是,S2压缩下限(s),4
U1_VD_RestTime,Float,PLC_01,VD36,RW,是,S3.5静止等候标称时长(s),4
U1_VD_RestTime_Min,Float,PLC_01,VD40,RW,是,S3.5压缩下限(s),4
U1_VD_CycleExtend_Max,Float,PLC_01,VD44,RW,是,换水周期顺延上限(min),4
U1_VD_Timeout_ValveA,Float,PLC_01,VD358,RW,是,阀A动作超时(s),4
U1_VD_Timeout_ValveB,Float,PLC_01,VD362,RW,是,阀B动作超时(s),4
U1_VD_Timeout_ValveC,Float,PLC_01,VD54,RW,是,阀C动作超时(s),4
U1_VD_Timeout_Pump1,Float,PLC_01,VD58,RW,是,潜水泵1超时(s),4
U1_VD_Timeout_Pump2,Float,PLC_01,VD62,RW,是,潜水泵2超时(s),4
U1_VD_Delay_ValveA_Verify,Float,PLC_01,VD66,RW,是,阀A关闭延时验证(s),4
U1_VD_ExperimentDuration_Accum,Float,PLC_01,VD366,R,是,实验时长累加(min),1
U1_VD_Vol_Target,Float,PLC_01,VD370,R,是,本轮目标抽取体积(µL),2
U1_VD_Dose_Steps,Float,PLC_01,VD102,R,是,本轮加药目标步数,2
U1_VD_S1_Actual,Float,PLC_01,VD70,R,是,S1进水实测时长(s),2
U1_VD_S4_Actual,Float,PLC_01,VD74,R,是,S4转移实测时长(s),2
U1_VD_S6_Actual,Float,PLC_01,VD78,R,是,S6排水实测时长(s),2
U1_VD_FlowMeter_Snapshot,Float,PLC_01,VD82,R,是,流量计快照(差值基准),2
U1_VD_FlowMeter_Current,Float,PLC_01,VD86,R,是,流量计当前累计值,2
U1_VD_Current_InletVolume,Float,PLC_01,VD90,R,是,本次进水量(L),2
U1_VD_FlowRate_Instant,Float,PLC_01,VD94,R,是,瞬时流速(L/min),2
U1_VD_T_Default,Float,PLC_01,VD104,R,是,T初始默认值(s),6
U1_VD_S6_Default,Float,PLC_01,VD108,R,是,S6排水默认时长(s),6
U1_VD_T_Rolling,Float,PLC_01,VD112,R,是,T滚动实测值(s),6
U1_VD_S6_Rolling,Float,PLC_01,VD116,R,是,S6滚动实测值(s),6
U1_VD_S2_Target,Float,PLC_01,VD120,R,是,本轮S2实际目标(s),6
U1_VD_RestTime_Target,Float,PLC_01,VD124,R,是,本轮S3.5实际目标(s),6
U1_VD_CycleExtend_Target,Float,PLC_01,VD128,R,是,本轮允许空等时长(min),6
U1_VD_PumpSpeed_Start,Float,PLC_01,VD132,RW,是,注射泵启动速度(Hz),4
