组态设备名称:PLC_05
驱动库文件路径:d:\program files\mcgspro\program\drivers\plc\西门子\smart200\smart200_ex.ui
驱动构件名称:西门子_S7_Smart200_以太网
驱动构件版本:7.001
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
0,U5_DI_FlowSwitch_A_Inlet,INTEGER,只读I000.0,只读,I输入继电器,通道的第00位,0,,1,
1,U5_DI_FlowSwitch_B_UpToDown,INTEGER,只读I000.1,只读,I输入继电器,通道的第01位,0,,1,
2,U5_DI_SystemReset,INTEGER,只读I000.3,只读,I输入继电器,通道的第03位,0,,1,
3,U5_DI_MuteBtn,INTEGER,只读I000.4,只读,I输入继电器,通道的第04位,0,,1,
4,U5_DI_LevelA_High,INTEGER,只读I000.5,只读,I输入继电器,通道的第05位,0,,1,
5,U5_DI_LevelA_Low,INTEGER,只读I000.6,只读,I输入继电器,通道的第06位,0,,1,
6,U5_DI_LevelB_High,INTEGER,只读I000.7,只读,I输入继电器,通道的第07位,0,,1,
7,U5_DI_LevelB_Low,INTEGER,只读I001.0,只读,I输入继电器,通道的第00位,1,,1,
8,U5_DI_EStop,INTEGER,只读I001.1,只读,I输入继电器,通道的第01位,1,,1,
9,U5_DI_SafetyRelay_Feedback,INTEGER,只读I001.2,只读,I输入继电器,通道的第02位,1,,1,
10,U5_DI_ValveA_Open,INTEGER,只读I008.0,只读,I输入继电器,通道的第00位,8,,1,
11,U5_DI_ValveA_Close,INTEGER,只读I008.1,只读,I输入继电器,通道的第01位,8,,1,
12,U5_DI_ValveB_Open,INTEGER,只读I008.2,只读,I输入继电器,通道的第02位,8,,1,
13,U5_DI_ValveB_Close,INTEGER,只读I008.3,只读,I输入继电器,通道的第03位,8,,1,
14,U5_DI_ValveC_Open,INTEGER,只读I008.4,只读,I输入继电器,通道的第04位,8,,1,
15,U5_DI_ValveC_Close,INTEGER,只读I008.5,只读,I输入继电器,通道的第05位,8,,1,
16,U5_DO_Pump1,INTEGER,只读Q000.0,只读,Q输出继电器,通道的第00位,0,,1,
17,U5_DO_Pump2,INTEGER,只读Q000.1,只读,Q输出继电器,通道的第01位,0,,1,
18,U5_DO_ValveA,INTEGER,只读Q000.2,只读,Q输出继电器,通道的第02位,0,,1,
19,U5_DO_ValveB,INTEGER,只读Q000.3,只读,Q输出继电器,通道的第03位,0,,1,
20,U5_DO_ValveC,INTEGER,只读Q000.4,只读,Q输出继电器,通道的第04位,0,,1,
21,U5_DO_NCValve_Top,INTEGER,读写Q000.5,读写,Q输出继电器,通道的第05位,0,,1,
22,U5_DO_Alarm_Sound,INTEGER,只读Q000.7,只读,Q输出继电器,通道的第07位,0,,1,
23,U5_DO_Alarm_Light,INTEGER,只读Q008.0,只读,Q输出继电器,通道的第00位,8,,1,
24,U5_CMD_Start,INTEGER,读写V000.0,读写,V数据寄存器,通道的第00位,0,,1,
25,U5_STA_RTU2_Online,INTEGER,只读V000.1,只读,V数据寄存器,通道的第01位,0,,1,
26,U5_CMD_Stop,INTEGER,读写V000.2,读写,V数据寄存器,通道的第02位,0,,1,
27,U5_CMD_AckAlarm,INTEGER,读写V000.3,读写,V数据寄存器,通道的第03位,0,,1,
28,U5_CMD_Mute,INTEGER,读写V000.4,读写,V数据寄存器,通道的第04位,0,,1,
29,U5_Reserved_CMD_ForceTankA_Empty,INTEGER,读写V000.5,读写,V数据寄存器,通道的第05位,0,,1,
30,U5_CMD_RTC_Sync,INTEGER,读写V000.6,读写,V数据寄存器,通道的第06位,0,,1,
31,U5_CMD_SafetyRelayAck,INTEGER,读写V000.7,读写,V数据寄存器,通道的第07位,0,,1,
32,U5_STA_StartAck,INTEGER,只读V001.0,只读,V数据寄存器,通道的第00位,1,,1,
33,U5_STA_InitDone,INTEGER,读写V001.1,读写,V数据寄存器,通道的第01位,1,,1,
34,U5_STA_RTU5_Online,INTEGER,只读V001.2,只读,V数据寄存器,通道的第02位,1,,1,
35,U5_STA_AlarmAckDone,INTEGER,只读V001.3,只读,V数据寄存器,通道的第03位,1,,1,
36,U5_STA_MuteDone,INTEGER,只读V001.4,只读,V数据寄存器,通道的第04位,1,,1,
37,U5_STA_ForceDone,INTEGER,只读V001.5,只读,V数据寄存器,通道的第05位,1,,1,
38,U5_STA_TankA_State,INTEGER,只读V001.6,只读,V数据寄存器,通道的第06位,1,,1,
39,U5_STA_TankB_State,INTEGER,只读V001.7,只读,V数据寄存器,通道的第07位,1,,1,
40,U5_VW2_StateMachine,SINGLE,只读VWB002,只读,V数据寄存器,16位 有符号二进制,2,,1,
41,U5_VW4_PumpStatus,SINGLE,只读VWB004,只读,V数据寄存器,16位 有符号二进制,4,,1,
42,U5_VW6_AlarmCode,SINGLE,只读VWB006,只读,V数据寄存器,16位 有符号二进制,6,,1,
43,U5_VW8_RoundCount,SINGLE,只读VWB008,只读,V数据寄存器,16位 有符号二进制,8,,1,
44,U5_VD_ExperimentTarget,SINGLE,读写VDF024,读写,V数据寄存器,32位 浮点数,24,,1,
45,U5_VD_PreMixTime,SINGLE,读写VDF028,读写,V数据寄存器,32位 浮点数,28,,1,
46,U5_VD_Timeout_ValveC,SINGLE,读写VDF054,读写,V数据寄存器,32位 浮点数,54,,1,
47,U5_VD_Delay_ValveC_Verify,SINGLE,读写VDF060,读写,V数据寄存器,32位 浮点数,60,,1,
48,U5_VD_Delay_ValveA_Verify,SINGLE,读写VDF066,读写,V数据寄存器,32位 浮点数,66,,1,
49,U5_VD_S1_Actual,SINGLE,只读VDF070,只读,V数据寄存器,32位 浮点数,70,,1,
50,U5_VD_FlowMeter_Snapshot,SINGLE,只读VDF082,只读,V数据寄存器,32位 浮点数,82,,1,
51,U5_VD_FlowMeter_Current,SINGLE,只读VDF086,只读,V数据寄存器,32位 浮点数,86,,1,
52,U5_VD_Current_InletVolume,SINGLE,只读VDF090,只读,V数据寄存器,32位 浮点数,90,,1,
53,U5_VD_FlowRate_Instant,SINGLE,只读VDF094,只读,V数据寄存器,32位 浮点数,94,,1,
54,U5_VD_Dose_Steps,SINGLE,只读VDF102,只读,V数据寄存器,32位 浮点数,102,,1,
55,U5_VD_S6_Rolling,SINGLE,只读VDF116,只读,V数据寄存器,32位 浮点数,116,,1,
56,U5_VD_S5_Elapsed,SINGLE,只读VDF178,只读,V数据寄存器,32位 浮点数,178,,1,
57,U5_M_AlarmAckMode,INTEGER,读写V200.0,读写,V数据寄存器,通道的第00位,200,,1,
58,U5_VD_TimerB_Display,SINGLE,只读VDB244,只读,V数据寄存器,32位 有符号二进制,244,,1,
59,U5_VD_TimerA_Elapsed,SINGLE,只读VDF248,只读,V数据寄存器,32位 浮点数,248,,1,
60,U5_VD_TimerB_Elapsed,SINGLE,只读VDF252,只读,V数据寄存器,32位 浮点数,252,,1,
61,U5_VD_TimerA_Display,SINGLE,只读VDB256,只读,V数据寄存器,32位 有符号二进制,256,,1,
62,U5_VW288_S4_Transfer_PT,SINGLE,读写VWB288,读写,V数据寄存器,16位 有符号二进制,288,,1,
63,U5_VW294_PumpContFail,SINGLE,只读VWB294,只读,V数据寄存器,16位 有符号二进制,294,,1,
64,U5_VW296_FlowContFail,SINGLE,只读VWB296,只读,V数据寄存器,16位 有符号二进制,296,,1,
65,U5_Alarm_Overflow_AHigh,INTEGER,只读V300.0,只读,V数据寄存器,通道的第00位,300,,1,
66,U5_Alarm_Overflow_BHigh,INTEGER,只读V300.1,只读,V数据寄存器,通道的第01位,300,,1,
67,U5_Alarm_NCValve_Top,INTEGER,只读V300.2,只读,V数据寄存器,通道的第02位,300,,1,
68,U5_EStop_Latch,INTEGER,只读V300.4,只读,V数据寄存器,通道的第04位,300,,1,
69,U5_Alarm_SafetyRelay,INTEGER,只读V300.5,只读,V数据寄存器,通道的第05位,300,,1,
70,U5_Alarm_ScheduleLag,INTEGER,只读V300.6,只读,V数据寄存器,通道的第06位,300,,1,
71,U5_Alarm_ScheduleLag_Warn,INTEGER,只读V300.7,只读,V数据寄存器,通道的第07位,300,,1,
72,U5_Alarm_ValveA_CloseFlow,INTEGER,只读V301.0,只读,V数据寄存器,通道的第00位,301,,1,
73,U5_Alarm_ValveA_CloseTimeout,INTEGER,只读V301.2,只读,V数据寄存器,通道的第02位,301,,1,
74,U5_Alarm_ValveA_CloseLeak,INTEGER,只读V301.3,只读,V数据寄存器,通道的第03位,301,,1,
75,U5_Alarm_ValveA_OpenTimeout,INTEGER,只读V301.4,只读,V数据寄存器,通道的第04位,301,,1,
76,U5_Alarm_ValveA_OpenNoFlow,INTEGER,只读V301.5,只读,V数据寄存器,通道的第05位,301,,1,
77,U5_Alarm_ValveA_S1Start,INTEGER,只读V301.6,只读,V数据寄存器,通道的第06位,301,,1,
78,U5_Alarm_ValveB_Diag,INTEGER,只读V302.0,只读,V数据寄存器,通道的第00位,302,,1,
79,U5_Alarm_ValveB_OpenTimeout,INTEGER,只读V302.1,只读,V数据寄存器,通道的第01位,302,,1,
80,U5_Alarm_ValveB_OpenNoFlow,INTEGER,只读V302.2,只读,V数据寄存器,通道的第02位,302,,1,
81,U5_Alarm_ValveB_CloseTimeout,INTEGER,只读V302.3,只读,V数据寄存器,通道的第03位,302,,1,
82,U5_Alarm_ValveB_CloseLeak,INTEGER,只读V302.4,只读,V数据寄存器,通道的第04位,302,,1,
83,U5_Alarm_ValveC_Diag,INTEGER,只读V302.5,只读,V数据寄存器,通道的第05位,302,,1,
84,U5_Alarm_ValveC_OpenTimeout,INTEGER,只读V302.6,只读,V数据寄存器,通道的第06位,302,,1,
85,U5_Alarm_ValveC_OpenNoFlow,INTEGER,只读V302.7,只读,V数据寄存器,通道的第07位,302,,1,
86,U5_Alarm_ValveC_CloseTimeout,INTEGER,只读V303.0,只读,V数据寄存器,通道的第00位,303,,1,
87,U5_Alarm_ValveC_CloseLeak,INTEGER,只读V303.1,只读,V数据寄存器,通道的第01位,303,,1,
88,U5_Alarm_S4TransferWaitTimeout,INTEGER,只读V303.2,只读,V数据寄存器,通道的第02位,303,,1,
89,U5_Alarm_SyringePump,INTEGER,只读V303.4,只读,V数据寄存器,通道的第04位,303,,1,
90,U5_Alarm_RTC_Lost,INTEGER,只读V303.5,只读,V数据寄存器,通道的第05位,303,,1,
91,U5_Alarm_CycleTimeout,INTEGER,只读V303.6,只读,V数据寄存器,通道的第06位,303,,1,
92,U5_Need_RTC_Sync,INTEGER,只读V303.7,只读,V数据寄存器,通道的第07位,303,,1,
93,U5_VW304_State_UpTank,SINGLE,只读VWB304,只读,V数据寄存器,16位 有符号二进制,304,,1,
