????õô????:?õô7
?????????¡¤??:d:\program files\mcgspro\program\drivers\plc\??????\smart200\smart200_ex.ui
????????????:??????_S7_Smart200_?????
?????????·Ú:7.001
?????,??????,????????,???????,??§Õ????,?????????,????????,????????,??????,?????????,???????
0,U8_CMD_Start,INTEGER,??§ÕV000.0,??§Õ,V????????,??????00¦Ë,0,,1,
1,U8_Reserved_CMD_Pause,INTEGER,??§ÕV000.1,??§Õ,V????????,??????01¦Ë,0,,1,
2,U8_CMD_Stop,INTEGER,??§ÕV000.2,??§Õ,V????????,??????02¦Ë,0,,1,
3,U8_CMD_AckAlarm,INTEGER,??§ÕV000.3,??§Õ,V????????,??????03¦Ë,0,,1,
4,U8_CMD_Mute,INTEGER,??§ÕV000.4,??§Õ,V????????,??????04¦Ë,0,,1,
5,U8_Reserved_CMD_ForceTankA_Empty,INTEGER,??§ÕV000.5,??§Õ,V????????,??????05¦Ë,0,,1,
6,U8_Reserved_CMD_ForceTankA_Full,INTEGER,??§ÕV000.6,??§Õ,V????????,??????06¦Ë,0,,1,
7,U8_CMD_SafetyRelayAck,INTEGER,??§ÕV000.7,??§Õ,V????????,??????07¦Ë,0,,1,
8,U8_STA_StartAck,INTEGER,???V001.0,???,V????????,??????00¦Ë,1,,1,
9,U8_Reserved_STA_PauseAck,INTEGER,???V001.1,???,V????????,??????01¦Ë,1,,1,
10,U8_STA_StopAck,INTEGER,???V001.2,???,V????????,??????02¦Ë,1,,1,
11,U8_STA_AlarmAckDone,INTEGER,???V001.3,???,V????????,??????03¦Ë,1,,1,
12,U8_STA_MuteDone,INTEGER,???V001.4,???,V????????,??????04¦Ë,1,,1,
13,U8_STA_ForceDone,INTEGER,???V001.5,???,V????????,??????05¦Ë,1,,1,
14,U8_STA_TankA_State,INTEGER,???V001.6,???,V????????,??????06¦Ë,1,,1,
15,U8_STA_TankB_State,INTEGER,???V001.7,???,V????????,??????07¦Ë,1,,1,
16,U8_DI_FlowSwitch_A,INTEGER,???I000.0,???,I????????,??????00¦Ë,0,,1,
17,U8_DI_FlowSwitch_B,INTEGER,???I000.1,???,I????????,??????01¦Ë,0,,1,
18,U8_DI_FlowSwitch_C,INTEGER,???I000.2,???,I????????,??????02¦Ë,0,,1,
19,U8_DI_EStop,INTEGER,???I001.1,???,I????????,??????01¦Ë,1,,1,
20,U8_DI_SafetyRelay_FB,INTEGER,???I001.2,???,I????????,??????02¦Ë,1,,1,
21,U8_DI_ValveA_Open,INTEGER,???I001.3,???,I????????,??????03¦Ë,1,,1,
22,U8_DI_ValveA_Close,INTEGER,???I001.4,???,I????????,??????04¦Ë,1,,1,
23,U8_DI_ValveB_Open,INTEGER,???I001.5,???,I????????,??????05¦Ë,1,,1,
24,U8_DI_ValveB_Close,INTEGER,???I001.6,???,I????????,??????06¦Ë,1,,1,
25,U8_DI_ValveC_Open,INTEGER,???I001.7,???,I????????,??????07¦Ë,1,,1,
26,U8_DI_ValveC_Close,INTEGER,???I002.0,???,I????????,??????00¦Ë,2,,1,
27,U8_VW2_StateMachine,SINGLE,???VWB002,???,V????????,16¦Ë ?§Ù????????,2,,1,
28,U8_VW4_PumpStatus,SINGLE,???VWB004,???,V????????,16¦Ë ?§Ù????????,4,,1,
29,U8_VW6_AlarmCode,SINGLE,???VWB006,???,V????????,16¦Ë ?§Ù????????,6,,1,
30,U8_VW8_RoundCount,SINGLE,???VWB008,???,V????????,16¦Ë ?§Ù????????,8,,1,
31,U8_VD_C_Set,SINGLE,??§ÕVDF010,??§Õ,V????????,32¦Ë ??????,10,,1,
