变量名,数据类型,PLC地址,读写属性,断电保持,注释,画面编号
CMD_Start,BOOL,V0.0,RW,是,"启动实验(从S0进入S1)",3
CMD_Pause,BOOL,V0.1,RW,是,"暂停实验(预留,状态机无暂停态)",3
CMD_Stop,BOOL,V0.2,RW,是,"停止实验(进入S7实验结束)",3
CMD_AckAlarm,BOOL,V0.3,RW,是,"报警确认(HMI报警详情页下发)",5
CMD_Mute,BOOL,V0.4,RW,是,"消音命令(HMI执行对应单元消音)",5
CMD_ForceTankA_Empty,BOOL,V0.5,RW,是,"强制修正上缸状态=空",3
CMD_ForceTankA_Full,BOOL,V0.6,RW,是,"强制修正上缸状态=满",3
CMD_SafetyRelayAck,BOOL,V0.7,RW,是,"继电器故障HMI高权限确认(配合I1.2清除V300.5)",5
STA_StartAck,BOOL,V1.0,R,是,"启动命令已接收(握手)",1
STA_PauseAck,BOOL,V1.1,R,是,"暂停命令已接收(预留)",3
STA_StopAck,BOOL,V1.2,R,是,"停止命令已接收(握手)",3
STA_AlarmAckDone,BOOL,V1.3,R,是,"报警确认已执行(握手)",5
STA_MuteDone,BOOL,V1.4,R,是,"消音已执行(握手)",5
STA_ForceDone,BOOL,V1.5,R,是,"状态强制修正已执行(握手)",3
STA_TankA_State,BOOL,V1.6,R,是,"上缸状态(0=空,1=满)",1
STA_TankB_State,BOOL,V1.7,R,是,"下缸状态(0=空,1=满)",1
VW2_StateMachine,WORD,VW2,R,是,"状态机当前状态(0~8,99;0=S0,1=S1...8=S7,99=S_ERROR)",1
VW4_PumpStatus,WORD,VW4,R,否,"注射泵状态码(映射自Modbus 41001;0=空闲,1=运行,2=抽液,3=排液,其他=错误)",2
VW6_AlarmCode,WORD,VW6,R,是,"当前最高优先级未确认报警码(0=无报警)",5
VW8_RoundCount,WORD,VW8,R,是,"当前实验轮次计数(每完成S1→S6累加1)",1
VD_C_Set,REAL,VD10,RW,是,"目标浓度设定值(%)",4
VD_C_Stock,REAL,VD14,RW,是,"母液浓度(人工配置后录入)(%)",4
VD_StepResolution,REAL,VD350,RW,是,"注射泵单步分辨率(µL/步,5ml进样器默认0.2083;原VD18,AQEX-36迁移)",4
