组态设备名称:设备7
驱动库文件路径:d:\program files\mcgspro\program\drivers\plc\西门子\smart200\smart200_ex.ui
驱动构件名称:西门子_S7_Smart200_以太网
驱动构件版本:7.001
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
0,U8_CMD_Start,INTEGER,读写V000.0,读写,V数据寄存器,通道的第00位,0,,1,
1,U8_Reserved_CMD_Pause,INTEGER,读写V000.1,读写,V数据寄存器,通道的第01位,0,,1,
2,U8_CMD_Stop,INTEGER,读写V000.2,读写,V数据寄存器,通道的第02位,0,,1,
3,U8_CMD_AckAlarm,INTEGER,读写V000.3,读写,V数据寄存器,通道的第03位,0,,1,
4,U8_CMD_Mute,INTEGER,读写V000.4,读写,V数据寄存器,通道的第04位,0,,1,
5,U8_Reserved_CMD_ForceTankA_Empty,INTEGER,读写V000.5,读写,V数据寄存器,通道的第05位,0,,1,
6,U8_Reserved_CMD_ForceTankA_Full,INTEGER,读写V000.6,读写,V数据寄存器,通道的第06位,0,,1,
7,U8_CMD_SafetyRelayAck,INTEGER,读写V000.7,读写,V数据寄存器,通道的第07位,0,,1,
8,U8_STA_StartAck,INTEGER,只读V001.0,只读,V数据寄存器,通道的第00位,1,,1,
9,U8_Reserved_STA_PauseAck,INTEGER,只读V001.1,只读,V数据寄存器,通道的第01位,1,,1,
10,U8_STA_StopAck,INTEGER,只读V001.2,只读,V数据寄存器,通道的第02位,1,,1,
11,U8_STA_AlarmAckDone,INTEGER,只读V001.3,只读,V数据寄存器,通道的第03位,1,,1,
12,U8_STA_MuteDone,INTEGER,只读V001.4,只读,V数据寄存器,通道的第04位,1,,1,
13,U8_STA_ForceDone,INTEGER,只读V001.5,只读,V数据寄存器,通道的第05位,1,,1,
14,U8_STA_TankA_State,INTEGER,只读V001.6,只读,V数据寄存器,通道的第06位,1,,1,
15,U8_STA_TankB_State,INTEGER,只读V001.7,只读,V数据寄存器,通道的第07位,1,,1,
16,U8_VW2_StateMachine,SINGLE,只读VWB002,只读,V数据寄存器,16位 有符号二进制,2,,1,
17,U8_VW4_PumpStatus,SINGLE,只读VWB004,只读,V数据寄存器,16位 有符号二进制,4,,1,
18,U8_VW6_AlarmCode,SINGLE,只读VWB006,只读,V数据寄存器,16位 有符号二进制,6,,1,
19,U8_VW8_RoundCount,SINGLE,只读VWB008,只读,V数据寄存器,16位 有符号二进制,8,,1,
20,U8_VD_C_Set,SINGLE,读写VDF010,读写,V数据寄存器,32位 浮点数,10,,1,
21,U8_VD_C_Stock,SINGLE,读写VDF014,读写,V数据寄存器,32位 浮点数,14,,1,
22,U8_VD_ExperimentTarget,SINGLE,读写VDF024,读写,V数据寄存器,32位 浮点数,24,,1,
23,U8_VD_PreMixTime,SINGLE,读写VDF028,读写,V数据寄存器,32位 浮点数,28,,1,
24,U8_VD_PreMixTime_MinSafe,SINGLE,读写VDF032,读写,V数据寄存器,32位 浮点数,32,,1,
25,U8_VD_RestTime,SINGLE,读写VDF036,读写,V数据寄存器,32位 浮点数,36,,1,
26,U8_VD_RestTime_Min,SINGLE,读写VDF040,读写,V数据寄存器,32位 浮点数,40,,1,
27,U8_VD_CycleExtend_Max,SINGLE,读写VDF044,读写,V数据寄存器,32位 浮点数,44,,1,
28,U8_VD_Timeout_ValveC,SINGLE,读写VDF054,读写,V数据寄存器,32位 浮点数,54,,1,
29,U8_VD_Timeout_Pump1,SINGLE,读写VDF058,读写,V数据寄存器,32位 浮点数,58,,1,
30,U8_VD_Timeout_Pump2,SINGLE,读写VDF062,读写,V数据寄存器,32位 浮点数,62,,1,
31,U8_VD_Delay_ValveA_Verify,SINGLE,读写VDF066,读写,V数据寄存器,32位 浮点数,66,,1,
32,U8_VD_S1_Actual,SINGLE,只读VDF070,只读,V数据寄存器,32位 浮点数,70,,1,
33,U8_VD_S4_Actual,SINGLE,只读VDF074,只读,V数据寄存器,32位 浮点数,74,,1,
